run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
plain-0-20220516-01:35:53-22224,runattr,,,configname,plain,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,datetime,20220516-01:35:53,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,experiment,plain,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,inifile,omnetpp.ini,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,iterationvars,,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,iterationvarsf,,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,measurement,,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,network,Scenario,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,processid,22224,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,repetition,0,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,replication,#0,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,resultdir,results,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,runnumber,0,,,,,,,,,
plain-0-20220516-01:35:53-22224,runattr,,,seedset,0,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].numApps,1,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].app[0].typename,"""org.car2x.veins.subprojects.veins_inet.VeinsInetSampleApplication""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].app[0].interface,"""wlan0""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[0].opMode,"""p""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[0].radio.typename,"""Ieee80211DimensionalRadio""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[0].radio.bandName,"""5.9 GHz""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[0].radio.channelNumber,3,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[0].radio.transmitter.power,20mW,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[0].radio.bandwidth,10 MHz,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.typename,"""AttachedMobility""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.mobilityModule,"""^.^.^.^.mobility""",,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.offsetX,-2.5m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.offsetZ,1.5m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMinX,0m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMaxX,0m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMinY,0m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMaxY,0m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMinZ,0m,,,,,,,,,
plain-0-20220516-01:35:53-22224,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMaxZ,0m,,,,,,,,,
